repository,stars,url,total_bugs,bugs_per_class,total_java_files,total_loc,total_classes,total_methods,avg_wmc,avg_cbo,avg_rfc,avg_dit,avg_noc,avg_wmc_method,avg_loc_method,avg_loops,avg_comparisons,code_duplication_percent,maintainability_index,ck_output_dir,analysis_time_seconds,analysis_date
yeecode/MyBatisCN,444,https://github.com/yeecode/MyBatisCN,0,0.0,382,21623,370,2568,12.93,4.89,10.98,1.71,0.17,1.86,6.44,0.09,0.36,5.57,0,temp_repos\ck_output_yeecode_MyBatisCN,13.71,2025-11-17T19:53:00.786120
apssouza22/java-microservice,443,https://github.com/apssouza22/java-microservice,0,0.0,117,3260,112,402,3.86,4.87,3.47,1.12,0.08,1.07,3.63,0.0,0.03,7.4,0,temp_repos\ck_output_apssouza22_java-microservice,5.98,2025-11-17T19:53:14.493293
Licoy/watchdog-framework,442,https://github.com/Licoy/watchdog-framework,0,0.0,83,2696,81,174,4.3,7.12,5.96,1.22,0.04,2.0,7.16,0.08,0.4,9.96,0,temp_repos\ck_output_Licoy_watchdog-framework,5.2,2025-11-17T19:53:20.469428
lenve/tienchin,442,https://github.com/lenve/tienchin,0,0.0,306,19291,317,2718,12.92,5.96,10.94,1.44,0.21,1.51,4.85,0.06,0.12,9.3,0,temp_repos\ck_output_lenve_tienchin,10.81,2025-11-17T19:53:25.667801
didi/sds,442,https://github.com/didi/sds,0,0.0,168,9511,181,1083,9.76,4.55,9.44,1.18,0.12,1.63,5.96,0.05,0.23,12.46,0,temp_repos\ck_output_didi_sds,7.35,2025-11-17T19:53:36.483001
code4everything/efo,437,https://github.com/code4everything/efo,0,0.0,76,4355,83,634,10.35,5.25,7.95,1.0,0.0,1.35,4.52,0.03,0.03,8.71,0,temp_repos\ck_output_code4everything_efo,4.97,2025-11-17T19:53:49.133599
yx159247/MP_take_out,437,https://github.com/yx159247/MP_take_out,0,0.0,403,14611,402,1161,4.07,6.52,5.49,1.29,0.09,1.41,5.37,0.06,0.15,7.5,0,temp_repos\ck_output_yx159247_MP_take_out,12.76,2025-11-17T19:53:54.108701
itwanger/coding-more,434,https://github.com/itwanger/coding-more,0,0.0,189,6241,194,489,3.9,5.54,5.53,1.14,0.06,1.55,5.56,0.04,0.23,9.83,0,temp_repos\ck_output_itwanger_coding-more,6.75,2025-11-17T19:54:10.705492
spring-cloud/spring-cloud-bus,434,https://github.com/spring-cloud/spring-cloud-bus,25,0.291,57,2982,86,281,5.03,6.27,5.26,1.43,0.22,1.54,5.6,0.04,0.23,5.43,0,temp_repos\ck_output_spring-cloud_spring-cloud-bus,4.49,2025-11-17T19:54:17.460409
yjjdick/sdb-mall,434,https://github.com/yjjdick/sdb-mall,0,0.0,391,14553,407,1613,5.68,5.58,6.93,1.52,0.07,1.43,5.58,0.06,0.14,9.93,0,temp_repos\ck_output_yjjdick_sdb-mall,13.03,2025-11-17T19:54:21.948667
lcw2004/one,433,https://github.com/lcw2004/one,0,0.0,459,22784,452,2808,9.15,6.81,8.7,1.38,0.02,1.47,5.25,0.06,0.21,14.59,0,temp_repos\ck_output_lcw2004_one,17.46,2025-11-17T19:54:34.974691
f-lab-edu/food-delivery,433,https://github.com/f-lab-edu/food-delivery,0,0.0,137,6771,206,614,4.11,5.39,6.16,1.22,0.02,1.38,5.3,0.02,0.23,5.72,0,temp_repos\ck_output_f-lab-edu_food-delivery,7.07,2025-11-17T19:54:52.435418
fp2952/spring-cloud-base,432,https://github.com/fp2952/spring-cloud-base,0,0.0,109,4226,114,547,6.01,5.94,5.0,1.34,0.11,1.25,4.5,0.01,0.06,7.8,0,temp_repos\ck_output_fp2952_spring-cloud-base,7.16,2025-11-17T19:54:59.509652
juejin-wuyang/memberclub,429,https://github.com/juejin-wuyang/memberclub,0,0.0,674,23501,688,1630,3.76,5.96,7.41,1.23,0.03,1.59,6.9,0.15,0.2,9.06,0,temp_repos\ck_output_juejin-wuyang_memberclub,21.27,2025-11-17T19:55:08.641869
jdereg/java-util,429,https://github.com/jdereg/java-util,3,0.003,445,103935,1032,8286,16.01,2.89,12.75,1.19,0.0,1.99,10.14,0.17,0.37,10.51,0,temp_repos\ck_output_jdereg_java-util,24.96,2025-11-17T19:55:29.914133
wzomg/chatserver,428,https://github.com/wzomg/chatserver,0,0.0,125,4429,127,272,3.6,6.12,7.47,1.08,0.01,1.68,7.53,0.14,0.27,14.0,0,temp_repos\ck_output_wzomg_chatserver,7.54,2025-11-17T19:55:56.268361
LianjiaTech/kob,427,https://github.com/LianjiaTech/kob,0,0.0,104,5510,113,390,8.4,4.89,8.05,1.02,0.02,2.43,8.86,0.07,0.55,14.6,0,temp_repos\ck_output_LianjiaTech_kob,6.3,2025-11-17T19:56:05.821919
joinfaces/joinfaces,426,https://github.com/joinfaces/joinfaces,37,0.134,235,8719,276,677,3.36,5.71,5.8,1.25,0.08,1.37,5.75,0.07,0.1,8.47,0,temp_repos\ck_output_joinfaces_joinfaces,9.48,2025-11-17T19:56:12.126844
GuoMinJim/PersonManage,422,https://github.com/GuoMinJim/PersonManage,0,0.0,67,2329,79,282,4.86,4.47,4.87,1.01,0.0,1.36,5.0,0.02,0.27,5.75,0,temp_repos\ck_output_GuoMinJim_PersonManage,4.71,2025-11-17T19:56:24.972649
dromara/mica-mqtt,420,https://github.com/dromara/mica-mqtt,0,0.0,337,17356,377,1897,8.32,5.7,8.64,1.16,0.04,1.65,6.3,0.07,0.27,7.02,0,temp_repos\ck_output_dromara_mica-mqtt,11.41,2025-11-17T19:56:29.682522
zhaojun1998/Shiro-Action,417,https://github.com/zhaojun1998/Shiro-Action,1,0.01,102,4716,103,679,8.7,6.17,8.17,1.29,0.02,1.32,4.44,0.05,0.1,6.48,0,temp_repos\ck_output_zhaojun1998_Shiro-Action,5.93,2025-11-17T19:56:45.954922
siam1026/siam-server,416,https://github.com/siam1026/siam-server,0,0.0,778,111177,976,20103,23.94,6.07,7.81,1.21,0.04,1.16,4.43,0.01,0.08,5.43,0,temp_repos\ck_output_siam1026_siam-server,33.21,2025-11-17T19:56:51.886290
jovezhao/nest,415,https://github.com/jovezhao/nest,0,0.0,148,3880,162,515,4.33,3.6,4.52,1.31,0.14,1.36,4.6,0.04,0.15,9.04,0,temp_repos\ck_output_jovezhao_nest,7.19,2025-11-17T19:57:35.588665
fenixsoft/microservice_arch_springcloud,415,https://github.com/fenixsoft/microservice_arch_springcloud,0,0.0,87,2548,90,277,3.54,5.84,5.08,1.47,0.2,1.15,4.42,0.0,0.06,6.46,0,temp_repos\ck_output_fenixsoft_microservice_arch_springcloud,6.43,2025-11-17T19:57:42.777363
TarsCloud/TarsJava,413,https://github.com/TarsCloud/TarsJava,7,0.017,378,30511,421,2927,15.97,4.98,10.69,1.56,0.14,2.3,8.47,0.12,0.45,5.23,0,temp_repos\ck_output_TarsCloud_TarsJava,13.26,2025-11-17T19:57:49.205429
Snailclimb/jsoncat,412,https://github.com/Snailclimb/jsoncat,4,0.04,114,2340,99,184,3.04,3.69,5.08,1.23,0.1,1.64,6.26,0.11,0.18,7.41,1.06,temp_repos\ck_output_Snailclimb_jsoncat,5.08,2025-11-17T19:58:06.394217
houxinlin/cool-request,411,https://github.com/houxinlin/cool-request,13,0.013,677,39367,1010,5158,8.9,4.41,7.86,1.86,0.15,1.74,5.65,0.09,0.31,11.29,0,temp_repos\ck_output_houxinlin_cool-request,20.87,2025-11-17T19:58:11.474583
Ordina-Group/microservices-dashboard,410,https://github.com/Ordina-Group/microservices-dashboard,0,0.0,69,2784,72,250,3.85,6.46,8.89,1.19,0.0,1.11,5.99,0.01,0.02,11.84,0,temp_repos\ck_output_Ordina-Group_microservices-dashboard,4.73,2025-11-17T19:58:32.340109
DropSnorz/OwlPlug,408,https://github.com/DropSnorz/OwlPlug,0,0.0,221,16120,296,1568,9.01,6.71,13.28,1.56,0.23,1.69,7.31,0.08,0.22,7.45,0,temp_repos\ck_output_DropSnorz_OwlPlug,9.51,2025-11-17T19:58:37.074123
spring-ai-alibaba/JManus,406,https://github.com/spring-ai-alibaba/JManus,22,0.047,359,42589,467,4200,18.25,5.58,14.91,1.19,0.07,2.03,7.38,0.08,0.35,5.93,0,temp_repos\ck_output_spring-ai-alibaba_JManus,17.06,2025-11-17T19:58:51.150866
Nepxion/Aquarius,404,https://github.com/Nepxion/Aquarius,0,0.0,139,5215,164,418,5.15,4.01,4.09,1.19,0.04,2.02,8.84,0.11,0.26,5.02,0,temp_repos\ck_output_Nepxion_Aquarius,7.03,2025-11-17T19:59:08.215925
yangxiufeng666/common-admin,402,https://github.com/yangxiufeng666/common-admin,0,0.0,79,5343,99,954,11.38,3.99,5.13,1.23,0.04,1.18,4.29,0.03,0.09,6.45,0,temp_repos\ck_output_yangxiufeng666_common-admin,7.86,2025-11-17T19:59:17.531705
baidu/brcc,401,https://github.com/baidu/brcc,5,0.009,409,98392,549,16884,49.12,5.96,26.45,1.28,0.04,1.6,4.67,0.01,0.27,13.26,0,temp_repos\ck_output_baidu_brcc,15.26,2025-11-17T19:59:27.747441
slyak/spring-data-jpa-extra,400,https://github.com/slyak/spring-data-jpa-extra,0,0.0,43,2159,47,243,10.06,6.26,9.72,1.19,0.0,1.95,6.14,0.17,0.31,5.39,0,temp_repos\ck_output_slyak_spring-data-jpa-extra,3.16,2025-11-17T19:59:43.004957
agiledon/eas-ddd,399,https://github.com/agiledon/eas-ddd,0,0.0,131,3796,128,449,4.29,4.23,5.4,1.59,0.14,1.22,4.7,0.0,0.11,8.15,0,temp_repos\ck_output_agiledon_eas-ddd,4.42,2025-11-17T19:59:47.788304
