repository,stars,url,total_bugs,bugs_per_class,total_java_files,total_loc,total_classes,total_methods,avg_wmc,avg_cbo,avg_rfc,avg_dit,avg_noc,avg_wmc_method,avg_loc_method,avg_loops,avg_comparisons,code_duplication_percent,maintainability_index,ck_output_dir,analysis_time_seconds,analysis_date
niumoo/JavaNotes,538,https://github.com/niumoo/JavaNotes,0,0.0,302,11307,377,1143,4.89,2.12,6.42,1.05,0.01,1.61,6.96,0.15,0.21,14.65,0,temp_repos\ck_output_niumoo_JavaNotes,9.86,2025-11-17T19:38:20.711467
baidu/Jprotobuf-rpc-socket,537,https://github.com/baidu/Jprotobuf-rpc-socket,6,0.022,237,13794,269,1524,10.1,5.01,9.74,1.31,0.16,1.78,7.07,0.09,0.35,11.23,0,temp_repos\ck_output_baidu_Jprotobuf-rpc-socket,9.88,2025-11-17T19:38:30.576672
jeecgboot/autopoi,534,https://github.com/jeecgboot/autopoi,0,0.0,139,10460,134,908,17.9,5.49,17.57,1.29,0.19,2.64,9.55,0.27,0.55,5.02,0,temp_repos\ck_output_jeecgboot_autopoi,7.57,2025-11-17T19:38:41.954810
kuafuai/aipexbase,534,https://github.com/kuafuai/aipexbase,0,0.0,388,21753,543,1806,6.57,6.38,8.88,1.26,0.06,1.98,7.23,0.08,0.39,13.03,0,temp_repos\ck_output_kuafuai_aipexbase,12.03,2025-11-17T19:38:49.524572
kingston-csj/mmorpg,531,https://github.com/kingston-csj/mmorpg,0,0.0,237,6041,240,625,3.95,4.14,4.76,1.14,0.07,1.52,5.43,0.06,0.18,11.23,0,temp_repos\ck_output_kingston-csj_mmorpg,7.56,2025-11-17T19:39:03.184604
arextest/arex-agent-java,530,https://github.com/arextest/arex-agent-java,0,0.0,766,59623,1142,6644,8.67,6.54,12.61,1.33,0.04,1.49,5.91,0.04,0.17,7.78,0,temp_repos\ck_output_arextest_arex-agent-java,22.89,2025-11-17T19:39:10.743995
memo012/ac-blog,528,https://github.com/memo012/ac-blog,0,0.0,104,3955,104,382,5.45,5.39,5.92,1.05,0.03,1.48,5.8,0.06,0.17,14.6,0,temp_repos\ck_output_memo012_ac-blog,5.97,2025-11-17T19:39:33.636743
perye/dokit,527,https://github.com/perye/dokit,0,0.0,277,12967,287,1000,6.41,7.38,8.52,1.17,0.09,1.84,7.02,0.15,0.22,14.01,0,temp_repos\ck_output_perye_dokit,9.55,2025-11-17T19:39:39.609700
bbossgroups/bboss-elasticsearch,523,https://github.com/bbossgroups/bboss-elasticsearch,1,0.004,221,26449,264,4070,25.0,4.6,11.52,1.61,0.2,1.62,5.08,0.03,0.26,7.45,0,temp_repos\ck_output_bbossgroups_bboss-elasticsearch,12.97,2025-11-17T19:39:50.973303
eclipse-hawkbit/hawkbit,523,https://github.com/eclipse-hawkbit/hawkbit,27,0.023,926,87871,1197,6163,7.75,8.83,14.48,1.74,0.17,1.51,7.07,0.05,0.19,11.46,0,temp_repos\ck_output_eclipse-hawkbit_hawkbit,28.23,2025-11-17T19:40:03.942553
MaJesTySA/miaosha_Shop,522,https://github.com/MaJesTySA/miaosha_Shop,0,0.0,90,3653,94,612,8.21,4.03,5.91,1.13,0.06,1.26,3.89,0.01,0.17,7.04,0,temp_repos\ck_output_MaJesTySA_miaosha_Shop,5.46,2025-11-17T19:40:32.175334
quick-perf/quickperf,519,https://github.com/quick-perf/quickperf,0,0.0,472,22095,751,2381,4.36,4.87,4.96,1.4,0.36,1.38,5.41,0.07,0.05,13.84,0,temp_repos\ck_output_quick-perf_quickperf,13.64,2025-11-17T19:40:39.307123
HuLaSpark/HuLa-Server,518,https://github.com/HuLaSpark/HuLa-Server,0,0.0,2086,96226,2229,7657,5.59,6.75,7.87,1.29,0.07,1.63,5.98,0.05,0.19,11.29,0,temp_repos\ck_output_HuLaSpark_HuLa-Server,57.25,2025-11-17T19:40:52.951059
dromara/fast-request,517,https://github.com/dromara/fast-request,71,0.311,106,11140,228,1000,9.21,4.66,12.04,1.69,0.06,2.1,10.03,0.1,0.46,12.11,0,temp_repos\ck_output_dromara_fast-request,12.9,2025-11-17T19:41:50.204782
dromara/cubic,516,https://github.com/dromara/cubic,0,0.0,193,6518,210,625,4.8,4.4,7.26,1.2,0.08,1.61,6.01,0.06,0.2,10.62,0,temp_repos\ck_output_dromara_cubic,9.89,2025-11-17T19:42:03.101343
weiboad/fiery,515,https://github.com/weiboad/fiery,0,0.0,64,5351,64,334,15.39,7.77,16.05,1.03,0.0,2.95,12.52,0.34,0.46,9.76,0,temp_repos\ck_output_weiboad_fiery,6.09,2025-11-17T19:42:12.991983
stick-i/scblogs,513,https://github.com/stick-i/scblogs,5,0.022,238,6511,228,511,3.68,5.36,4.8,1.29,0.06,1.64,5.71,0.07,0.29,12.96,0,temp_repos\ck_output_stick-i_scblogs,9.81,2025-11-17T19:42:19.085195
zhengqingya/code-generator,512,https://github.com/zhengqingya/code-generator,0,0.0,158,7656,156,603,7.5,6.96,9.15,1.79,0.24,1.94,7.67,0.13,0.3,11.84,0,temp_repos\ck_output_zhengqingya_code-generator,8.7,2025-11-17T19:42:28.891726
nagisa77/OpenIsle,508,https://github.com/nagisa77/OpenIsle,129,0.387,329,19836,333,909,5.95,8.47,11.24,1.11,0.08,2.18,9.05,0.1,0.47,13.3,0,temp_repos\ck_output_nagisa77_OpenIsle,12.32,2025-11-17T19:42:39.217644
JoeCao/qbike,507,https://github.com/JoeCao/qbike,0,0.0,79,2079,81,121,2.2,5.31,5.07,1.22,0.04,1.47,7.26,0.02,0.15,6.45,5.32,temp_repos\ck_output_JoeCao_qbike,5.2,2025-11-17T19:42:51.538432
