full_name,url,created_at,pushed_at,stars,forks,open_issues,total_issues,contributors,topics,frameworks,framework_primary,detection_source,spring_boot_version,collected_at
TheEterna/api2mcp4j,https://github.com/TheEterna/api2mcp4j,2025-04-15T02:32:31Z,2026-08-25T15:58:04Z,110,16,0,3,2,agent; ai; framework; java; maven; mcp; mcp-server; multi-agent-systems; spring; spring-ai; spring-boot; spring-mvc,Spring Boot,Spring Boot,both,4.1.0,2026-09-01T17:56:06Z
Atmosphere/atmosphere,https://github.com/Atmosphere/atmosphere,2010-06-30T14:26:23Z,2026-09-01T03:10:23Z,3804,761,2,2154,179,a2a; acp; agentic-ai; ai-agents; anthropic; crewai; embabel; event-driven; java; koog; langchain4j; llm; mcp; multiagent; quarkus; rag; spring-ai; spring-boot; sse; websocket,Quarkus; Spring Boot,Spring Boot,both,4.1.0,2026-09-01T17:56:09Z
citrusframework/citrus,https://github.com/citrusframework/citrus,2010-02-03T15:32:30Z,2026-08-30T20:15:03Z,485,154,174,983,89,apache-camel; http; integration-testing; jms; kafka; knative; kubernetes; messaging; microservices; quarkus; rest-api; spring-boot; testing,Quarkus; Spring Boot; Dropwizard; Vert.x; Spring MVC; Jakarta EE / Java EE,Spring Boot,both,,2026-09-01T17:56:12Z
redisson/redisson,https://github.com/redisson/redisson,2014-01-11T14:06:25Z,2026-08-31T10:59:14Z,24384,5494,183,5865,295,cache; distributed; distributed-locks; executor; hibernate; java; json; lock; map; micronaut; quarkus; queue; redis; redis-client; scheduler; session; spring; tomcat; valkey; valkey-client,Micronaut; Quarkus,Quarkus,topics,,2026-09-01T17:56:14Z
database-rider/database-rider,https://github.com/database-rider/database-rider,2016-09-16T12:47:36Z,2026-01-24T12:06:26Z,683,142,68,312,70,cdi; db-testing; dbrider; dbunit; deltaspike; jpa; junit5; micronautfw; quarkus; spring; springboot,Quarkus,Quarkus,topics,,2026-09-01T17:56:16Z
labsai/EDDI,https://github.com/labsai/EDDI,2016-10-13T13:29:22Z,2026-09-01T00:06:49Z,372,124,17,179,29,a2a; ai-agents; ai-orchestration; chatbot; conversation-memory; conversational-ai; docker; enterprise-ai; java; langchain4j; llm; mcp-client; mcp-server; mongodb; multi-agent; postgres; quarkus; rag,Quarkus; Vert.x,Quarkus,both,,2026-09-01T17:56:19Z
KotlinCraft/modern-java-and-kotlin-tutorials,https://github.com/KotlinCraft/modern-java-and-kotlin-tutorials,2016-03-11T12:54:11Z,2020-06-26T08:05:28Z,204,73,0,2,2,crpytography; java; kotlin; micronaut; quarkus; spring,Micronaut; Quarkus,Quarkus,topics,,2026-09-01T17:56:20Z
smallrye/smallrye-mutiny,https://github.com/smallrye/smallrye-mutiny,2019-07-22T12:48:27Z,2026-08-31T10:08:24Z,927,149,9,329,67,asynchronous; java; jvm; programming; quarkus; reactive; reactive-extensions; reactive-streams; streams; vertx,Quarkus; Vert.x,Quarkus,topics,,2026-09-01T17:56:23Z
dromara/sureness,https://github.com/dromara/sureness,2019-01-21T15:35:21Z,2025-07-18T07:02:02Z,877,161,9,47,17,authentication; authorization; basic-auth; digest; framework; javalin; jwt; ktor; library; quarkus; restful-api; shiro; spring; spring-security; springboot,Javalin; Quarkus; Spring Boot,Spring Boot,both,,2026-09-01T17:56:25Z
apache/incubator-kie-kogito-runtimes,https://github.com/apache/incubator-kie-kogito-runtimes,2019-03-07T08:49:09Z,2026-07-22T06:01:50Z,612,253,84,349,359,apache; bpm; cloud-native; dmn; java; jbpm; knative; kogito; pmml; quarkus; rule-engine; spring-boot; workflow; workflow-engine,Quarkus; Spring Boot,Spring Boot,topics,,2026-09-01T17:56:27Z
dekorateio/dekorate,https://github.com/dekorateio/dekorate,2018-11-14T15:30:03Z,2026-08-25T15:09:16Z,489,111,77,424,58,helm; java; knative; kubernetes; openshift; quarkus; tekton,Quarkus,Quarkus,topics,,2026-09-01T17:56:30Z
tess1o/geopulse,https://github.com/tess1o/geopulse,2025-07-01T14:10:47Z,2026-08-31T19:04:43Z,1376,56,6,343,15,gps-tracker; gps-tracking; java; owntracks; postgis; postgis-database; postgres; privacy; quarkus; quarkus-native; self-hosted; timeline; vue3,Quarkus,Quarkus,topics,,2026-09-01T17:56:32Z
HamburgChimps/apple-notes-liberator,https://github.com/HamburgChimps/apple-notes-liberator,2023-03-26T00:54:17Z,2023-09-24T14:03:02Z,1017,26,16,39,7,apple-notes; picocli; quarkus,Quarkus,Quarkus,both,,2026-09-01T17:56:35Z
entropy-cloud/nop-entropy,https://github.com/entropy-cloud/nop-entropy,2022-08-18T22:43:44Z,2026-08-31T11:44:44Z,692,100,2,5,23,aigc; amis; graalvm; graphql; java; lowcode; nocode; quarkus; report; report-engine; rule-engine; vue3; workflow,Quarkus,Quarkus,topics,,2026-09-01T17:56:37Z
TimefoldAI/timefold-quickstarts,https://github.com/TimefoldAI/timefold-quickstarts,2023-04-21T13:51:19Z,2026-09-01T17:39:39Z,575,171,6,103,34,artificial-intelligence; constraint-programming; cvrp; employee-scheduling; gradle; java; job-shop-scheduling; kotlin; maintenance-scheduling; maven; operations-research; optimization-library; planning-algorithms; quarkus; resource-allocation; spring-boot; vehicle-routing-problem; vrptw,Quarkus; Spring Boot,Spring Boot,topics,,2026-09-01T17:56:39Z
domix/wonky,https://github.com/domix/wonky,2015-07-19T20:31:48Z,2025-04-21T11:02:06Z,32,9,14,27,3,codecov; java11; java8; micronaut; micronautfw; slack,Micronaut,Micronaut,both,,2026-09-01T17:56:41Z
asc-lab/micronaut-microservices-poc,https://github.com/asc-lab/micronaut-microservices-poc,2018-08-02T08:42:22Z,2022-08-13T18:19:59Z,497,176,6,35,11,consul; h2-database; insurance; jwt; jwt-auth; kafka; micronaut; microservices; microservices-architecture; mongodb; postgresql; zipkin,Micronaut,Micronaut,topics,,2026-09-01T17:56:43Z
micronaut-projects/micronaut-data,https://github.com/micronaut-projects/micronaut-data,2019-07-18T15:18:18Z,2026-09-01T13:04:31Z,480,229,188,1143,123,data; groovy; hibernate; java; jdbc; jpa; kotlin; micronaut; relational-databases; sql,Micronaut,Micronaut,both,,2026-09-01T17:56:45Z
bitcldr/dictum,https://github.com/bitcldr/dictum,2019-04-04T16:20:05Z,2025-05-14T13:14:36Z,195,12,5,32,3,api; docker; java; micronaut; mongodb; quote; quotes-api; telegram; telegram-bot,Micronaut,Micronaut,topics,,2026-09-01T17:56:46Z
micronaut-projects/micronaut-openapi,https://github.com/micronaut-projects/micronaut-openapi,2019-03-28T13:07:55Z,2026-09-01T06:38:27Z,114,121,19,510,89,micronaut; openapi; rest-api; swagger,Micronaut,Micronaut,both,,2026-09-01T17:56:48Z
sivaprasadreddy/testcontainers-samples,https://github.com/sivaprasadreddy/testcontainers-samples,2022-08-07T04:57:55Z,2026-08-02T09:09:44Z,61,15,1,2,3,java; micronaut; quarkus; spring-boot; testcontainers,Micronaut; Quarkus; Spring Boot,Spring Boot,topics,,2026-09-01T17:56:50Z
seehiong/micronaut-llama3,https://github.com/seehiong/micronaut-llama3,2024-12-15T10:53:05Z,2025-02-02T13:31:03Z,41,2,0,0,1,deepseek-r1; gguf; graalvm; gradle; huggingface; java; llama; llama3; llm; llm-inference; micronaut; native; simd,Micronaut,Micronaut,both,,2026-09-01T17:56:52Z
ivangfr/web-reactive-jvm-native-cds-aot-virtual-threads,https://github.com/ivangfr/web-reactive-jvm-native-cds-aot-virtual-threads,2024-07-28T16:50:00Z,2026-04-21T21:07:20Z,31,14,0,0,2,aot; cds; docker; graalvm; java; jvm; micronaut; native; quarkus; spring-boot; virtual-threads; web; webflux,Micronaut; Quarkus; Spring Boot,Spring Boot,topics,,2026-09-01T17:56:54Z
cloudflightio/springboot-testresources,https://github.com/cloudflightio/springboot-testresources,2023-01-05T14:50:56Z,2025-12-19T09:30:48Z,26,3,1,7,6,micronaut; spring-boot; tdd; testcontainers,Micronaut; Spring Boot,Spring Boot,both,,2026-09-01T17:56:56Z
avaje/avaje-http,https://github.com/avaje/avaje-http,2018-11-18T08:55:52Z,2026-08-27T21:28:03Z,96,19,5,162,21,annotation-processor; avaje; code-generation; controllers; helidon; http-client; http-server; java; javalin; jdk-http-client; nima; webroutes,Helidon; Javalin,Helidon,topics,,2026-09-01T17:56:57Z
oracle/microservices-backend,https://github.com/oracle/microservices-backend,2021-03-12T03:46:56Z,2026-08-26T15:43:06Z,92,93,0,307,25,autonomous; cloud-native; converged-database; data-driven; databases; helidon; hybrid-cloud; livelabs; messaging; microservices; multi-cloud; oracle-converged-database; simplify-microservices-architecture; workshops,Helidon,Helidon,topics,,2026-09-01T17:56:59Z
helidon-io/helidon-build-tools,https://github.com/helidon-io/helidon-build-tools,2018-08-27T12:00:31Z,2026-07-14T23:14:08Z,39,33,100,473,20,helidon; maven,Helidon,Helidon,both,,2026-09-01T17:57:02Z
neomatrix369/chatbot-conversations,https://github.com/neomatrix369/chatbot-conversations,2020-06-26T19:13:56Z,2024-01-11T19:21:02Z,37,13,12,19,4,ai; chat-application; chatbot; eliza; eliza-chatbot; graalvm; helidon; helidon-example; java; ml; nlp; python; quarkus; text,Helidon; Quarkus,Quarkus,topics,,2026-09-01T17:57:03Z
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard,2011-01-19T19:52:29Z,2026-08-31T19:51:54Z,8577,3401,14,1634,517,dropwizard; hibernate; java; jax-rs; jdbi; jersey-framework; jersey2; jetty; rest; restful-webservices; web-framework,Dropwizard,Dropwizard,both,,2026-09-01T17:57:06Z
dropwizard-jobs/dropwizard-jobs,https://github.com/dropwizard-jobs/dropwizard-jobs,2012-11-18T22:30:19Z,2026-09-01T16:32:30Z,164,67,0,69,34,annotations; cron; dropwizard; java; job; job-scheduler; quartz-scheduler; schedule; trigger,Dropwizard,Dropwizard,both,,2026-09-01T17:57:08Z
astefanutti/metrics-aspectj,https://github.com/astefanutti/metrics-aspectj,2013-09-15T15:05:58Z,2020-10-13T07:12:29Z,82,41,2,12,9,aop; aspectj; dropwizard; java; metrics,Dropwizard,Dropwizard,both,,2026-09-01T17:57:10Z
astefanutti/metrics-cdi,https://github.com/astefanutti/metrics-cdi,2013-10-20T13:15:52Z,2022-01-04T16:31:59Z,79,20,3,15,8,cdi; dropwizard; java; javaee; metrics,Dropwizard; Jakarta EE / Java EE,Dropwizard,both,,2026-09-01T17:57:12Z
mokies/ratelimitj,https://github.com/mokies/ratelimitj,2016-06-12T03:27:46Z,2023-05-15T08:19:49Z,484,92,20,40,15,dropwizard; java; rate-limits; redis; sliding-windows,Dropwizard,Dropwizard,topics,,2026-09-01T17:57:14Z
xvik/dropwizard-guicey,https://github.com/xvik/dropwizard-guicey,2014-09-03T03:22:23Z,2026-08-25T07:34:43Z,241,51,4,122,17,dropwizard; guice; java,Dropwizard,Dropwizard,both,,2026-09-01T17:57:17Z
StubbornJava/StubbornJava,https://github.com/StubbornJava/StubbornJava,2016-12-31T23:11:41Z,2023-01-20T05:06:48Z,237,120,42,70,8,ansible; css-themes; dropwizard; dropwizard-metrics; gradle; hikaricp; jackson; java; java15; jool; jooq; json; logback; okhttp3; slf4j; terraform; undertow,Dropwizard,Dropwizard,topics,,2026-09-01T17:57:19Z
smallnest/Jax-RS-Performance-Comparison,https://github.com/smallnest/Jax-RS-Performance-Comparison,2015-11-17T08:04:27Z,2023-04-14T01:41:28Z,184,76,1,2,8,benchmark; dropwizard; jax-rs; jersey; resteasy; restful; spring-boot; vertx,Dropwizard; Spring Boot; Vert.x,Spring Boot,topics,,2026-09-01T17:57:21Z
SDA-SE/sda-dropwizard-commons,https://github.com/SDA-SE/sda-dropwizard-commons,2019-12-10T13:48:12Z,2026-08-31T09:43:36Z,45,14,0,35,62,bedrock; dropwizard; framework; hacktoberfest; microservice,Dropwizard; Jakarta EE / Java EE,Dropwizard,both,,2026-09-01T17:57:23Z
dbelob/helloworld-web,https://github.com/dbelob/helloworld-web,2018-05-20T19:25:39Z,2026-07-19T16:15:46Z,29,12,0,0,2,apache-cxf; dropwizard; grails; gwt; java; jersey; jhipster; jsf; microprofile; play-framework; resteasy; restlet; servlet; spring-boot; spring-mvc; struts; tapestry; vaadin; vertx; wicket,Dropwizard; GWT; Spring Boot; JSF / PrimeFaces; Play Framework; Jakarta EE / Java EE; Struts; Vaadin; Vert.x; Wicket,Spring Boot,both,,2026-09-01T17:57:26Z
dropwizard/dropwizard-health,https://github.com/dropwizard/dropwizard-health,2019-05-09T20:58:23Z,2023-05-05T07:04:26Z,19,5,5,14,7,dropwizard; health-check; health-checks; healthcheck; java,Dropwizard,Dropwizard,both,,2026-09-01T17:57:28Z
xvik/yaml-updater,https://github.com/xvik/yaml-updater,2021-08-26T11:49:07Z,2026-09-01T06:23:40Z,18,6,4,12,5,config; dropwizard; migration-tool; yaml,Dropwizard,Dropwizard,topics,,2026-09-01T17:57:30Z
jstachio/jstachio,https://github.com/jstachio/jstachio,2022-10-13T18:18:17Z,2025-04-15T01:23:39Z,331,14,27,118,9,annotation-processor; dropwizard; java; jooby; mustache; spring; template-engine; type-safe,Dropwizard,Dropwizard,topics,,2026-09-01T17:57:33Z
eclipse-vertx/vert.x,https://github.com/eclipse-vertx/vert.x,2011-06-17T14:54:55Z,2026-09-01T08:12:07Z,14685,2113,126,2994,294,concurrency; event-loop; high-performance; http2; java; jvm; netty; nio; non-blocking; reactive; vertx,Vert.x,Vert.x,both,,2026-09-01T17:57:35Z
sirixdb/sirix,https://github.com/sirixdb/sirix,2012-06-09T02:22:14Z,2026-08-31T11:03:00Z,1216,249,4,270,73,comparison; coroutines; diff; diff-algorithm; diffing; hacktoberfest; hashing; java; json; jsoniq; keycloak; kotlin; snapshot; ssd; storage; temporal-data; versioning; vertx; xml; xquery,Vert.x,Vert.x,topics,,2026-09-01T17:57:37Z
Atmosphere/atmosphere-vertx,https://github.com/Atmosphere/atmosphere-vertx,2013-05-27T19:15:12Z,2026-02-24T17:59:32Z,44,10,3,6,6,atmosphere; java; jersey; reactive; vertx; websocket,Vert.x,Vert.x,both,,2026-09-01T17:57:39Z
engagingspaces/mod-tinkerpop-persistor,https://github.com/engagingspaces/mod-tinkerpop-persistor,2013-10-09T22:33:24Z,2014-02-21T10:32:03Z,17,5,14,17,1,tinkerpop; vertx,Vert.x,Vert.x,both,,2026-09-01T17:57:41Z
vert-x3/vertx-examples,https://github.com/vert-x3/vertx-examples,2015-02-24T17:42:44Z,2026-08-25T12:45:32Z,3579,2039,34,226,105,async; examples; http2; kotlin; reactive; vertx,Vert.x,Vert.x,both,,2026-09-01T17:57:43Z
MyCATApache/Mycat2,https://github.com/MyCATApache/Mycat2,2017-08-04T06:58:32Z,2023-08-15T09:17:05Z,1733,476,140,364,19,async; calcite; java; jdbc; joinclustering; mariadb; mgr; mha; mycat; mysql; nio; proxy; rxjava; server; sharding; slice; sql; transcation; vertx; xa,Vert.x,Vert.x,topics,,2026-09-01T17:57:44Z
vert-x3/vertx-web,https://github.com/vert-x3/vertx-web,2014-11-14T08:15:20Z,2026-09-01T08:14:07Z,1150,560,100,1498,218,client; reactive; server; sockjs; vertx; web,Vert.x,Vert.x,both,,2026-09-01T17:57:46Z
eclipse-vertx/vertx-sql-client,https://github.com/eclipse-vertx/vertx-sql-client,2017-04-30T21:50:57Z,2026-09-01T08:13:20Z,913,211,60,845,59,async; mssql; mysql; netty; non-blocking; performance; pg; postgres; reactive; scalability; vertx,Vert.x,Vert.x,both,,2026-09-01T17:57:48Z
xenv/gushici,https://github.com/xenv/gushici,2018-08-05T13:11:09Z,2022-02-11T00:32:56Z,1389,155,12,20,1,api; hitokoto; vertx,Vert.x,Vert.x,both,,2026-09-01T17:57:50Z
reactiverse/es4x,https://github.com/reactiverse/es4x,2018-03-14T14:30:19Z,2025-12-19T22:50:39Z,891,74,51,240,30,graaljs; graalvm; hacktoberfest2021; java; javascript; language-support; typescript; typescript-definitions; vertx,Vert.x,Vert.x,topics,,2026-09-01T17:57:52Z
hibernate/hibernate-reactive,https://github.com/hibernate/hibernate-reactive,2019-01-25T14:28:07Z,2026-09-01T16:03:16Z,469,108,95,1170,33,cockroachdb; db2; hibernate; jpa; mariadb; mysql; oracle; orm; postgresql; quarkus; reactive; vertx,Quarkus; Vert.x,Quarkus,topics,,2026-09-01T17:57:53Z
AppsFlyer/donkey,https://github.com/AppsFlyer/donkey,2020-09-29T12:55:19Z,2023-12-05T22:39:57Z,299,14,3,11,3,clojure; http-client; http-server; java; netty; ring; vertx,Vert.x,Vert.x,both,,2026-09-01T17:57:55Z
qaiu/netdisk-fast-download,https://github.com/qaiu/netdisk-fast-download,2023-04-20T09:41:34Z,2026-08-17T17:22:52Z,3166,270,15,123,15,api; download; drive; file-server; ilanzou; java; netdisk-fast-download; onedrive; parser; share; vertx; webserver; yunpan,Vert.x,Vert.x,both,,2026-09-01T17:57:57Z
jarvis2f/telegram-files,https://github.com/jarvis2f/telegram-files,2024-12-21T03:49:33Z,2026-08-26T14:33:30Z,2390,181,28,102,4,docker; downloader; nextjs; self-hosted; shadcn-ui; tdlib; telegram; unraid; vertx,Vert.x,Vert.x,topics,,2026-09-01T17:57:59Z
liyupi/yu-rpc,https://github.com/liyupi/yu-rpc,2024-02-19T02:32:35Z,2025-07-05T04:00:16Z,603,135,4,9,2,backend; etcd; java; rpc; springboot; vertx; web,Vert.x,Vert.x,topics,,2026-09-01T17:58:01Z
runify-dev/runify,https://github.com/runify-dev/runify,2025-07-10T16:19:04Z,2026-08-17T16:48:03Z,163,11,2,3,5,ai-agent; electron; knowledge-base; lightweight; low-code; multi-agent; rag; vertx; white-box; workflow,Vert.x,Vert.x,both,,2026-09-01T17:58:03Z
joscha/play-authenticate,https://github.com/joscha/play-authenticate,2012-06-19T12:03:03Z,2021-02-10T12:12:43Z,804,351,91,248,58,authentication; facebook; foursquare; google; java; linkedin; oauth; play-framework; plugins; pocket; untappd; vkontakte,Play Framework,Play Framework,topics,,2026-09-01T17:58:05Z
pac4j/play-pac4j,https://github.com/pac4j/play-pac4j,2012-11-10T08:19:26Z,2026-08-28T01:40:34Z,413,105,0,0,55,authentication; authorization; cas; facebook; java; jwt; ldap; login; logout; mongodb; oauth; openid-connect; play-framework; saml; scala; security; social-login; sql; twitter,Play Framework,Play Framework,topics,,2026-09-01T17:58:06Z
hakandilek/play2-crud,https://github.com/hakandilek/play2-crud,2013-01-30T12:49:07Z,2017-04-18T09:43:06Z,146,51,7,51,12,crud; crud-controllers; dao; java; play-framework; play2-crud; playframework,Play Framework,Play Framework,topics,,2026-09-01T17:58:08Z
benjohnde/play-pdf,https://github.com/benjohnde/play-pdf,2012-05-18T21:29:32Z,2018-01-26T14:51:38Z,114,65,0,25,12,java; pdf; pdf-generation; play-framework; playframework,Play Framework,Play Framework,topics,,2026-09-01T17:58:10Z
swagger-api/swagger-play,https://github.com/swagger-api/swagger-play,2015-07-21T04:06:04Z,2022-09-14T15:32:00Z,332,173,85,140,32,openapi-specification; play-framework; rest; restful-api; swagger; swagger-api,Play Framework,Play Framework,topics,,2026-09-01T17:58:11Z
vangav/vos_backend,https://github.com/vangav/vos_backend,2016-08-07T22:42:28Z,2020-02-15T17:45:23Z,77,13,0,0,3,algorithms; backend; cassandra; client; dispatcher; exceptions; generator; geometry; geoservices; java; metrics; networking; performant; play-framework; scalable; security; service-oriented-architecture; thread-pool; tutorial; worker-service,Play Framework,Play Framework,topics,,2026-09-01T17:58:13Z
jvz/lagom-example,https://github.com/jvz/lagom-example,2016-11-08T16:37:53Z,2016-11-23T20:37:53Z,22,6,0,0,2,akka; blog-microservice; java; lagom; lagom-framework; microservice; play-framework; reactive; reactive-programming,Play Framework,Play Framework,both,,2026-09-01T17:58:15Z
reljicd/play-framework-blog,https://github.com/reljicd/play-framework-blog,2017-12-17T16:48:19Z,2018-01-03T11:52:07Z,17,7,0,0,1,blog; docker; dockerfile; ebean; guice; h2; h2-database; java; java8; java8-optionals; junit; play-framework; playframework; sbt; stream-api; twirl; twirl-templates,Play Framework,Play Framework,topics,,2026-09-01T17:58:16Z
gradle/playframework,https://github.com/gradle/playframework,2018-11-19T09:52:39Z,2026-03-23T23:14:45Z,47,41,49,137,29,gradle; gradle-bt; gradle-bt-jvm; hacktoberfest; play-framework,Play Framework,Play Framework,topics,,2026-09-01T17:58:18Z
jlorgal/play-vs-spring,https://github.com/jlorgal/play-vs-spring,2018-11-14T11:34:48Z,2020-11-10T08:29:11Z,14,6,1,1,3,django-rest-framework; golang; java; play-framework; spring-boot,Play Framework; Spring Boot,Spring Boot,topics,,2026-09-01T17:58:20Z
acmoune/product-reviewer,https://github.com/acmoune/product-reviewer,2020-05-11T23:38:24Z,2021-11-20T13:33:41Z,12,7,1,1,1,alpakka; cassandra; fullstack; kafka; kafka-connect; kafka-streams; play-framework; react; realtime; websocket,Play Framework,Play Framework,topics,,2026-09-01T17:58:21Z
tsukhani/jclaw,https://github.com/tsukhani/jclaw,2026-04-06T12:00:32Z,2026-08-31T15:35:33Z,16,4,0,2,2,agent-orchestration; ai-agents; ai-assistant; automation; enterprise-ai-assistant; java; job-scheduling; nuxt; play-framework,Play Framework,Play Framework,both,,2026-09-01T17:58:24Z
playframework/play-ebean,https://github.com/playframework/play-ebean,2014-11-27T03:43:03Z,2026-08-24T19:43:31Z,111,66,15,105,42,ebean; java; orm; playframework,Play Framework,Play Framework,topics,,2026-09-01T17:58:25Z
playframework/play-java-websocket-example,https://github.com/playframework/play-java-websocket-example,2014-02-26T03:09:51Z,2019-04-23T15:40:35Z,86,50,5,12,15,example; example-project; jvm; playframework; sample; sample-app; webapp,Play Framework,Play Framework,both,,2026-09-01T17:58:28Z
playframework/play-java-ebean-example,https://github.com/playframework/play-java-ebean-example,2014-07-16T04:19:45Z,2019-04-23T15:39:42Z,53,57,5,15,9,example; example-project; jvm; playframework; sample; sample-app; webapp,Play Framework,Play Framework,topics,,2026-09-01T17:58:29Z
playframework/play-java-rest-api-example,https://github.com/playframework/play-java-rest-api-example,2017-03-20T02:19:58Z,2019-04-23T15:40:14Z,44,43,2,6,10,example; example-project; jvm; playframework; sample; sample-app; webapp,Play Framework; Dropwizard,Dropwizard,both,,2026-09-01T17:58:31Z
sevendark/IDEACodeTools,https://github.com/sevendark/IDEACodeTools,2018-12-18T10:29:25Z,2020-01-15T02:11:15Z,23,5,3,11,3,intellij; jooq; playframework; plugin,Play Framework,Play Framework,topics,,2026-09-01T17:58:33Z
play-rconf/play-rconf,https://github.com/play-rconf/play-rconf,2018-04-01T08:02:39Z,2022-03-10T19:30:28Z,16,1,0,6,3,config; configuration-management; java; play; playframework; playframework2; scala,Play Framework,Play Framework,topics,,2026-09-01T17:58:35Z
vaadin/framework,https://github.com/vaadin/framework,2012-10-19T10:41:30Z,2026-08-21T08:07:25Z,1810,716,390,9771,260,java; vaadin; vaadin-framework; web-application-framework,Vaadin; Jakarta EE / Java EE; GWT,Vaadin,both,,2026-09-01T17:58:40Z
rolandkrueger/vaadin-by-example,https://github.com/rolandkrueger/vaadin-by-example,2012-08-21T11:08:17Z,2018-09-21T19:25:11Z,60,49,2,3,4,vaadin,Vaadin,Vaadin,topics,,2026-09-01T17:58:41Z
vaadin/cdi,https://github.com/vaadin/cdi,2012-08-13T17:21:37Z,2026-09-01T05:51:28Z,44,55,39,259,47,cdi; jakartaee; javaee; jave; vaadin; webapp,Jakarta EE / Java EE; Vaadin,Vaadin,both,,2026-09-01T17:58:43Z
tehapo/WizardsForVaadin,https://github.com/tehapo/WizardsForVaadin,2012-10-19T10:20:28Z,2018-10-29T09:27:47Z,35,30,15,25,7,java; vaadin,Vaadin,Vaadin,topics,,2026-09-01T17:58:45Z
MyCollab/mycollab,https://github.com/MyCollab/mycollab,2014-01-30T15:43:08Z,2025-04-22T05:48:28Z,1360,575,17,51,11,agile; collaboration; guava; java; kanban; kotlin; microservices; mybatis; mybatis3; mysql; mysql-server; onpremises; opensource; project-management; quartz-scheduler; rest-api; spring-boot; springframework; vaadin,Spring Boot; Vaadin,Spring Boot,topics,,2026-09-01T17:58:47Z
vaadin/flow,https://github.com/vaadin/flow,2015-04-29T17:54:35Z,2026-09-01T17:34:09Z,749,218,1274,7876,284,java; vaadin; vaadin-flow; web-application-framework,Vaadin; GWT,Vaadin,both,,2026-09-01T17:58:49Z
vaadin/platform,https://github.com/vaadin/platform,2017-05-19T16:34:14Z,2026-09-01T16:08:21Z,676,85,100,785,69,flow; java; javascript; vaadin; vaadin-platform,Vaadin; Spring Boot,Spring Boot,both,,2026-09-01T17:58:51Z
jreznot/electron-java-app,https://github.com/jreznot/electron-java-app,2016-12-17T18:21:16Z,2023-04-17T18:45:49Z,504,94,0,0,6,desktop; electron; electron-java; java; vaadin,Vaadin; Jakarta EE / Java EE,Vaadin,both,,2026-09-01T17:58:53Z
vaadin/hilla,https://github.com/vaadin/hilla,2021-04-27T13:25:07Z,2026-09-01T16:14:05Z,983,78,433,1229,45,client-side; frontend; java; lit; lit-element; react; reactive; reactjs; stateless; typescript; vaadin,Vaadin; Jakarta EE / Java EE,Vaadin,both,,2026-09-01T17:58:56Z
vaadin/flow-crm-tutorial,https://github.com/vaadin/flow-crm-tutorial,2020-01-23T20:35:18Z,2026-08-11T11:19:20Z,204,194,4,27,13,java; java-web; spring-boot; tutorial; vaadin,Spring Boot; Vaadin,Spring Boot,both,4.1.0,2026-09-01T17:58:58Z
vaadin/flow-components,https://github.com/vaadin/flow-components,2020-06-17T07:58:15Z,2026-09-01T15:33:14Z,129,77,907,2895,165,hacktoberfest; java; vaadin,Vaadin; Jakarta EE / Java EE,Vaadin,both,,2026-09-01T17:59:00Z
jflamy/owlcms4,https://github.com/jflamy/owlcms4,2018-01-07T00:11:26Z,2026-08-31T21:33:44Z,89,30,4,1232,8,java; sports-app; vaadin; vaadin-flow; weightlifting,Vaadin,Vaadin,both,,2026-09-01T17:59:02Z
TFyre/bambu-farm,https://github.com/TFyre/bambu-farm,2024-01-21T17:33:07Z,2026-03-16T19:46:43Z,369,46,33,129,8,bambu-lab; bambulab; quarkus; vaadin,Quarkus; Vaadin,Quarkus,both,,2026-09-01T17:59:04Z
ollama4j/ollama4j-web-ui,https://github.com/ollama4j/ollama4j-web-ui,2024-02-21T13:50:41Z,2026-05-23T06:40:15Z,126,31,3,10,4,ai; bot; chatbot; gen-ai; generative-ai; llm; ollama; ollama4j; spring-boot; vaadin,Spring Boot; Vaadin,Spring Boot,both,3.2.2,2026-09-01T17:59:05Z
marcushellberg/java-chat-with-documents,https://github.com/marcushellberg/java-chat-with-documents,2024-05-07T00:48:17Z,2024-05-16T13:09:52Z,88,18,0,1,3,ai; langchain4j; spring-boot; vaadin,Spring Boot; Vaadin,Spring Boot,both,3.2.5,2026-09-01T17:59:07Z
greencapk8s/greencap-k8s,https://github.com/greencapk8s/greencap-k8s,2025-09-23T17:20:58Z,2026-08-15T22:04:40Z,51,6,0,0,2,cluster-management; devops; devtools; fabric8; helm; java; k8s; kubernetes; kubernetes-dashboard; kubernetes-management; minikube; monitoring; postgresql; self-hosted; spring-boot; vaadin; web-ui,Spring Boot; Vaadin,Spring Boot,both,3.3.0,2026-09-01T17:59:09Z
javaee-samples/javaee7-samples,https://github.com/javaee-samples/javaee7-samples,2013-08-27T18:47:51Z,2022-09-01T22:46:28Z,2498,1632,93,175,65,cdi; glassfish; jaspic; java; javaee; javaee7; jaxrs; jboss; jsf; junit; liberty; payara; servlet; tomcat; tomee,Jakarta EE / Java EE; JSF / PrimeFaces,JSF / PrimeFaces,topics,,2026-09-01T17:59:11Z
