full_name,url,created_at,pushed_at,stars,forks,open_issues,total_issues,contributors,topics,frameworks,framework_primary,detection_source,spring_boot_version,collected_at
finos/waltz,https://github.com/finos/waltz,2015-12-06T17:26:44Z,2026-08-27T16:38:46Z,236,145,374,3960,68,angularjs; architecture; data-lineage; enterprise-architecture; enterprise-information; enterprise-software; enterprise-tools; jooq; liquibase; sparkjava,Spark Java,Spark Java,both,,2026-09-01T18:00:51Z
pac4j/spark-pac4j,https://github.com/pac4j/spark-pac4j,2015-05-05T14:12:47Z,2026-08-26T02:16:39Z,163,41,0,0,8,authentication; authorization; cas; facebook; java; jwt; ldap; login; logout; mongodb; oauth; openid-connect; saml; security; social-login; sparkjava; sql; twitter,Spark Java,Spark Java,both,,2026-09-01T18:00:53Z
huangyueranbbc/SparkDemo,https://github.com/huangyueranbbc/SparkDemo,2017-08-03T11:56:32Z,2020-05-09T06:04:12Z,85,70,0,1,3,bigdata; hadoop; operator; spark; spark-sql; spark-streaming; sparkfun-products; sparkjava; sparkline; sparkp,Spark Java,Spark Java,topics,,2026-09-01T18:00:55Z
oeljeklaus-you/UserActionAnalyzePlatform,https://github.com/oeljeklaus-you/UserActionAnalyzePlatform,2018-06-21T14:30:16Z,2022-11-16T04:26:16Z,1127,396,6,7,1,accumulator; hadoop; java; kyro; spark; spark-sql; sparkjava,Spark Java,Spark Java,topics,,2026-09-01T18:00:57Z
freeacs/freeacs,https://github.com/freeacs/freeacs,2018-05-06T19:49:07Z,2024-04-29T05:25:29Z,165,93,7,226,8,acs; freeacs; gitter; h2; mysql; sbt; sparkjava; spring-boot; tr-069,Spark Java; Spring Boot,Spring Boot,topics,,2026-09-01T18:00:59Z
yahoo/sherlock,https://github.com/yahoo/sherlock,2018-01-17T21:20:01Z,2024-12-02T20:04:05Z,158,37,7,26,8,anomaly-detection; druid; jobscheduler; redis; redis-cluster; sparkjava; timeseries,Spark Java,Spark Java,both,,2026-09-01T18:01:00Z
jgperrin/net.jgp.books.spark.ch04,https://github.com/jgperrin/net.jgp.books.spark.ch04,2018-06-03T15:42:36Z,2023-04-21T20:46:47Z,18,18,0,2,12,java; manning; spark; sparkjava; sparkwithjava,Spark Java,Spark Java,topics,,2026-09-01T18:01:02Z
apache/tomee,https://github.com/apache/tomee,2013-01-22T08:00:16Z,2026-09-01T05:43:51Z,477,694,0,0,177,jakarta-ee; java; microprofile; network-server; tomee,Jakarta EE / Java EE,Jakarta EE / Java EE,both,,2026-09-01T18:01:05Z
clusterbench/clusterbench,https://github.com/clusterbench/clusterbench,2011-11-03T11:06:10Z,2026-08-31T10:24:11Z,33,36,35,112,12,benchmark; clustering; high-availability; jakarta; jakarta-ee; java; jboss; servlet; wildfly,Jakarta EE / Java EE,Jakarta EE / Java EE,topics,,2026-09-01T18:01:07Z
ghosthack/turismo,https://github.com/ghosthack/turismo,2011-08-31T17:48:59Z,2026-08-31T10:13:49Z,33,10,0,1,13,http-server; jakarta-ee; java; lightweight; maven-central; microframework; rest-api; routing; servlet; sinatra; web-framework,Jakarta EE / Java EE,Jakarta EE / Java EE,both,,2026-09-01T18:01:09Z
mybatis/cdi,https://github.com/mybatis/cdi,2013-12-07T19:33:41Z,2026-08-29T16:08:33Z,27,22,1,44,16,cdi; extension; jakarta-ee; java; java-ee,Jakarta EE / Java EE,Jakarta EE / Java EE,topics,,2026-09-01T18:01:11Z
payara/Payara,https://github.com/payara/Payara,2014-09-11T18:32:40Z,2026-09-01T07:04:02Z,922,320,145,2025,334,jakarta-ee; jakartaee; java; microprofile; microservices; payara-micro; payara-server,Jakarta EE / Java EE; JSF / PrimeFaces,JSF / PrimeFaces,both,,2026-09-01T18:01:14Z
jeddict/jeddict-modeler,https://github.com/jeddict/jeddict-modeler,2015-12-24T11:45:02Z,2026-03-19T09:54:54Z,404,45,57,380,7,ddl; diagram; eclipselink; hibernate; jakarta-ee; jakartaee; javaee; javaee8; jax-rs; jpa; jsonb; microprofile; microservices; modeler; netbeans; orm; payara; payara-micro; payara-server; sql,Jakarta EE / Java EE,Jakarta EE / Java EE,topics,,2026-09-01T18:01:16Z
Angular2Guy/Angular2AndJavaEE,https://github.com/Angular2Guy/Angular2AndJavaEE,2016-11-19T11:25:06Z,2026-04-02T12:02:48Z,99,32,0,1,7,angular; angular-21; angular-cli; jakarta-ee; java; java-17; javaee; jboss; jpa; maven; swagger; typescript; wildfly,Jakarta EE / Java EE,Jakarta EE / Java EE,topics,,2026-09-01T18:01:18Z
flowlogix/flowlogix,https://github.com/flowlogix/flowlogix,2015-05-03T21:04:11Z,2026-09-01T06:28:32Z,30,9,5,103,13,dao; datamodel; enterprise; entity; infinite-scroll; jakarta; jakarta-ee; jakarta-ee-boot; jakarta-persistence; jakartaee; java-ee; javaee; jee; jpa; jpalazydatamodel; lazy-loading; lazydatamodel; omnifaces; primefaces; primefaces-extensions,Jakarta EE / Java EE; JSF / PrimeFaces,JSF / PrimeFaces,both,,2026-09-01T18:01:20Z
eclipse-ee4j/glassfish,https://github.com/eclipse-ee4j/glassfish,2018-09-15T08:59:52Z,2026-09-01T15:44:21Z,442,185,74,23391,92,application-server; cloud-native; glassfish; hacktoberfest; jakarta-ee; jakartaee; java; microprofile,Jakarta EE / Java EE,Jakarta EE / Java EE,topics,,2026-09-01T18:01:22Z
eclipse-ee4j/glassfish-samples,https://github.com/eclipse-ee4j/glassfish-samples,2019-11-04T11:09:24Z,2021-01-12T10:49:18Z,41,29,19,66,5,examples; glassfish; hacktoberfest; jakarta-ee; jakartaee; java,Jakarta EE / Java EE,Jakarta EE / Java EE,topics,,2026-09-01T18:01:24Z
jakartaee/transactions,https://github.com/jakartaee/transactions,2018-04-11T19:41:26Z,2026-08-14T14:09:41Z,34,37,36,127,22,api; jakarta-ee; jakartaee; java; transaction,Jakarta EE / Java EE,Jakarta EE / Java EE,topics,,2026-09-01T18:01:26Z
eclipse-ee4j/glassfish-concurro,https://github.com/eclipse-ee4j/glassfish-concurro,2018-03-26T18:57:54Z,2026-08-27T22:02:08Z,21,28,2,35,18,glassfish; hacktoberfest; jakarta-ee; jakartaee; java,Jakarta EE / Java EE,Jakarta EE / Java EE,topics,,2026-09-01T18:01:28Z
arafkarsh/ms-springboot-vanilla,https://github.com/arafkarsh/ms-springboot-vanilla,2024-10-01T05:24:39Z,2025-09-16T13:33:42Z,54,23,1,1,2,alpine; container; docker; jakarta-ee; jakartaee10; java23; jwt; keycloak; kubernetes; micrometer; opentelemetry; otel-agent; otel-collector; prometheus; spring-aop; spring-boot; spring-security; springboot334; springboot341; ubuntu,Jakarta EE / Java EE; Spring Boot,Spring Boot,both,3.5.4,2026-09-01T18:01:30Z
omnifaces/omnihai,https://github.com/omnifaces/omnihai,2026-01-18T17:01:01Z,2026-09-01T14:55:51Z,37,2,0,0,2,ai-library; ai-utility; anthropic; balusc; gemini; generative-ai; grok; jakarta-ee; java; java-ai; java-ee; langchain4j-alternative; llm; microprofile; openai,Jakarta EE / Java EE,Jakarta EE / Java EE,topics,,2026-09-01T18:01:32Z
anahata-os/anahata-asi,https://github.com/anahata-os/anahata-asi,2025-11-02T12:18:13Z,2026-08-31T12:26:06Z,26,6,6,9,5,agent; agentic-ai; agents; agi; ai; apache; asi; gemini; gemini-client; jakarta-asi; jakarta-ee; jasi; java; java-asi; maven; netbeans-ide; oasi; oracle-asi; swing,Jakarta EE / Java EE,Jakarta EE / Java EE,topics,,2026-09-01T18:01:34Z
ratchet-run/ratchet,https://github.com/ratchet-run/ratchet,2026-04-29T14:19:43Z,2026-08-21T19:45:11Z,25,0,0,6,3,background-jobs; cdi; circuit-breaker; cron; dead-letter-queue; jakarta-ee; java; jbatch; job-scheduler; jpa; mongodb; mysql; postgresql; quartz-alternative; recurring-jobs; retry; scheduler; task-scheduler; workflow; workflow-engine,Jakarta EE / Java EE,Jakarta EE / Java EE,both,,2026-09-01T18:01:36Z
speedment/speedment,https://github.com/speedment/speedment,2015-01-19T16:41:52Z,2023-11-07T17:59:16Z,2093,231,79,851,29,code-generator; database; java; java-ee; javafx; orm; spring; spring-boot; stream,Jakarta EE / Java EE; Spring Boot,Spring Boot,topics,,2026-09-01T18:01:38Z
smartdevicelink/sdl_java_suite,https://github.com/smartdevicelink/sdl_java_suite,2014-09-29T19:49:09Z,2025-11-18T16:41:16Z,194,131,49,859,62,java; java-ee; java-se; sdl; sdl-android; smartdevicelink; smartphone,Jakarta EE / Java EE,Jakarta EE / Java EE,topics,,2026-09-01T18:01:40Z
codehaus-cargo/cargo,https://github.com/codehaus-cargo/cargo,2015-04-03T17:40:17Z,2026-08-28T21:19:18Z,108,75,0,0,80,ant; application-server; continous-integration; daemon; glassfish; java; java-ee; jboss; jetty; jonas; maven; payara; remote-management; resin; testing; tomcat; tomee; weblogic; websphere; wildfly,Jakarta EE / Java EE,Jakarta EE / Java EE,both,,2026-09-01T18:01:46Z
RealJeeshop/jeeshop,https://github.com/RealJeeshop/jeeshop,2014-05-20T19:58:10Z,2023-02-22T07:11:27Z,41,41,4,46,14,e-commerce; java-ee; quarkus,Jakarta EE / Java EE; Quarkus,Quarkus,both,,2026-09-01T18:01:48Z
rieckpil/blog-tutorials,https://github.com/rieckpil/blog-tutorials,2018-06-02T07:25:24Z,2026-08-29T23:43:11Z,810,749,3,23,12,aws; java; java-ee; jdk; junit; kotlin; maven; microprofile; postgresql; react; spring-boot; spring-framework; spring-security; spring-test; spring-web; spring-webclient; spring-webflux; testcontainers,Jakarta EE / Java EE; Spring Boot,Spring Boot,both,3.3.0,2026-09-01T18:01:50Z
daggerok/generator-jvm,https://github.com/daggerok/generator-jvm,2018-04-07T16:03:44Z,2022-11-24T03:34:56Z,43,16,2,9,3,akka; akka-persistence; cdi; ejb; ejb3; java; java-ee; jvm; kotlin; microprofile; scala; spring-boot; spring-boot-2; wildfly-swarm,Jakarta EE / Java EE; Spring Boot,Spring Boot,topics,,2026-09-01T18:01:51Z
driftserver/drift-server,https://github.com/driftserver/drift-server,2019-01-10T13:41:12Z,2022-01-21T23:27:18Z,22,3,0,0,4,coverage-testing; database; documentation; enterprise-applications; enterprise-software; java-ee; java-ee-application; jdbc-database; mariadb-server; mysql-database; oracle-database; reverse-engineering; snapshotting; sql-server; test-data; web-application,Jakarta EE / Java EE; Spring Boot,Spring Boot,both,,2026-09-01T18:01:53Z
